Date,State,District,Pincode,Age_0_5,Age_5_17,Age_18_greater
15-03-2025,Assam,Marigaon,782104,10,11,46
15-03-2025,Assam,Kokrajhar,783350,10,16,18
15-03-2025,Uttar Pradesh,Agra,282010,10,49,19
15-03-2025,Uttar Pradesh,Agra,282005,10,66,17
20-03-2025,Bihar,Sitamarhi,843330,10,12,19
20-03-2025,Assam,Dibrugarh,786602,10,12,14
20-03-2025,Assam,Sonitpur,784110,10,28,43
20-03-2025,Assam,Udalguri,784509,10,46,34
23-03-2025,Madhya Pradesh,Gwalior,474001,10,21,16
02-03-2025,Meghalaya,East Khasi Hills,793121,11,61,37
20-03-2025,Assam,Dhubri,783348,11,115,37
20-03-2025,Assam,Baksa,781366,11,14,13
23-03-2025,Meghalaya,East Khasi Hills,793015,11,11,115
23-03-2025,Uttar Pradesh,Bahraich,271865,11,72,13
27-03-2025,Uttar Pradesh,Maharajganj,273164,11,56,22
15-03-2025,Bihar,Purbi Champaran,845303,12,121,13
15-03-2025,Uttar Pradesh,Maharajganj,273164,12,55,12
15-03-2025,Assam,Marigaon,782127,12,16,20
20-03-2025,Assam,Tinsukia,786171,12,37,30
20-03-2025,Uttar Pradesh,Bahraich,271865,12,47,21
20-03-2025,Assam,Tinsukia,786156,12,32,21
20-03-2025,Tamil Nadu,Kanchipuram,600069,12,12,10
20-03-2025,Bihar,Patna,800001,12,52,16
20-03-2025,Assam,Chirang,783390,12,29,15
27-03-2025,Jharkhand,Deoghar,815353,12,25,18
09-03-2025,Bihar,Bhagalpur,812005,13,40,18
15-03-2025,Uttar Pradesh,Ghaziabad,201002,13,57,19
20-03-2025,Assam,Kamrup,781354,13,20,13
27-03-2025,Uttar Pradesh,Gorakhpur,273001,13,36,11
27-03-2025,Bihar,Madhubani,847108,13,61,12
09-03-2025,Punjab,Amritsar,143001,14,15,20
09-03-2025,Karnataka,Bengaluru Urban,560068,14,17,35
09-03-2025,Karnataka,Bengaluru Urban,560016,14,16,21
09-03-2025,Karnataka,Bengaluru Urban,560043,14,33,39
15-03-2025,Uttar Pradesh,Ghaziabad,201206,14,30,13
15-03-2025,Bihar,Madhubani,847421,15,54,15
20-03-2025,Assam,Dhubri,783331,15,51,12
20-03-2025,Andhra Pradesh,Spsr Nellore,524311,15,19,17
27-03-2025,Uttar Pradesh,Mathura,281201,15,19,16
20-03-2025,Karnataka,Bengaluru Urban,560035,16,10,13
27-03-2025,Bihar,Sitamarhi,843330,16,22,45
27-03-2025,Gujarat,Dohad,389180,16,18,27
27-03-2025,Gujarat,Dohad,389170,16,19,14
15-03-2025,Maharashtra,Parbhani,431401,17,14,37
15-03-2025,Uttar Pradesh,Unnao,209801,17,95,18
15-03-2025,Uttarakhand,Haridwar,247667,17,15,28
